iter	Passed	Remaining
0	63	63117
1	63	31757
2	64	21313
3	64	16080
4	64	12930
5	65	10838
6	65	9328
7	66	8215
8	66	7348
9	67	6641
10	67	6060
11	67	5598
12	68	5196
13	68	4845
14	69	4562
15	69	4298
16	70	4063
17	70	3862
18	71	3678
19	71	3517
20	72	3375
21	72	3241
22	73	3118
23	73	3008
24	74	2909
25	75	2810
26	75	2725
27	76	2641
28	76	2568
29	77	2495
30	77	2434
31	78	2373
32	79	2317
33	79	2266
34	80	2213
35	80	2162
36	81	2110
37	81	2062
38	82	2022
39	82	1982
40	83	1945
41	83	1907
42	84	1872
43	84	1836
44	84	1803
45	85	1771
46	85	1738
47	86	1706
48	86	1676
49	87	1667
50	88	1640
51	88	1615
52	89	1597
53	89	1573
54	90	1552
55	90	1528
56	91	1507
57	91	1486
58	92	1468
59	92	1450
60	93	1435
61	93	1417
62	94	1402
63	94	1385
64	95	1370
65	95	1356
66	96	1339
67	96	1320
68	96	1304
69	97	1291
70	97	1278
71	98	1264
72	98	1255
73	99	1240
74	99	1229
75	100	1218
76	100	1208
77	101	1196
78	101	1184
79	102	1175
80	102	1163
81	103	1153
82	103	1142
83	103	1132
84	104	1120
85	104	1110
86	104	1100
87	105	1098
88	106	1088
89	106	1078
90	107	1069
91	107	1060
92	107	1051
93	108	1044
94	108	1035
95	109	1028
96	109	1020
97	110	1012
98	110	1004
99	111	999
100	111	993
101	111	983
102	112	977
103	112	970
104	113	963
105	114	962
106	114	957
107	115	951
108	115	945
109	116	939
110	116	932
111	117	928
112	117	922
113	118	917
114	118	912
115	118	905
116	119	899
117	119	894
118	120	888
119	120	882
120	120	878
121	121	873
122	121	866
123	121	860
124	122	855
125	122	850
126	123	845
127	123	839
128	123	834
129	123	829
130	124	825
131	124	821
132	125	818
133	126	814
134	126	811
135	127	807
136	127	803
137	127	798
138	128	794
139	128	790
140	129	785
141	129	782
142	129	778
143	130	775
144	130	771
145	131	768
146	131	765
147	132	761
148	132	758
149	133	756
150	134	754
151	134	750
152	134	747
153	135	744
154	136	741
155	136	738
156	137	736
157	138	737
158	138	733
159	139	731
160	139	729
161	140	725
162	140	723
163	141	720
164	141	717
165	142	714
166	142	710
167	142	707
168	143	704
169	143	702
170	144	700
171	145	698
172	145	695
173	146	693
174	146	690
175	146	687
176	147	684
177	147	681
178	147	678
179	148	675
180	148	672
181	149	669
182	149	667
183	150	665
184	150	663
185	151	662
186	151	660
187	152	657
188	152	655
189	153	653
190	153	651
191	154	649
192	154	647
193	155	645
194	155	643
195	156	640
196	156	638
197	156	635
198	157	633
199	157	631
200	158	628
201	158	626
202	158	623
203	159	621
204	159	619
205	160	616
206	160	614
207	160	612
208	161	610
209	161	608
210	162	606
211	162	604
212	163	602
213	163	600
214	163	597
215	164	596
216	164	594
217	165	592
218	165	591
219	166	590
220	166	588
221	167	586
222	167	584
223	168	582
224	168	580
225	168	578
226	169	576
227	169	575
228	170	573
229	170	571
230	171	569
231	171	568
232	171	566
233	172	564
234	172	562
235	173	560
236	173	559
237	174	557
238	174	555
239	174	553
240	175	551
241	175	550
242	176	548
243	176	547
244	177	545
245	177	543
246	177	541
247	178	540
248	178	538
249	178	536
250	179	535
251	179	533
252	180	532
253	180	530
254	181	529
255	181	527
256	181	526
257	182	525
258	183	523
259	183	522
260	183	520
261	184	519
262	184	517
263	185	516
264	185	514
265	186	513
266	186	511
267	186	510
268	187	508
269	187	507
270	188	506
271	189	506
272	189	504
273	189	503
274	190	501
275	190	499
276	190	498
277	191	496
278	191	495
279	192	494
280	192	492
281	192	491
282	193	489
283	193	488
284	194	487
285	194	485
286	194	484
287	195	483
288	196	482
289	196	482
290	197	480
291	197	479
292	198	478
293	198	477
294	199	476
295	199	475
296	200	473
297	200	472
298	200	470
299	201	469
300	201	468
301	202	467
302	202	465
303	203	464
304	203	463
305	203	462
306	204	460
307	204	459
308	204	458
309	205	457
310	205	456
311	206	454
312	206	453
313	207	452
314	207	451
315	207	450
316	208	449
317	208	448
318	209	447
319	209	445
320	210	445
321	210	444
322	211	442
323	211	441
324	212	440
325	212	439
326	213	438
327	213	437
328	214	436
329	214	435
330	214	434
331	215	433
332	215	432
333	216	430
334	216	429
335	216	428
336	217	427
337	217	426
338	218	425
339	218	424
340	219	423
341	219	422
342	220	421
343	220	420
344	221	419
345	221	418
346	221	417
347	222	416
348	222	415
349	223	414
350	223	413
351	224	412
352	224	411
353	225	410
354	225	409
355	226	408
356	226	407
357	226	406
358	227	406
359	227	405
360	228	404
361	228	403
362	229	402
363	229	401
364	229	400
365	230	398
366	230	398
367	231	397
368	231	396
369	232	395
370	232	394
371	232	393
372	233	392
373	233	391
374	234	390
375	234	389
376	235	388
377	235	387
378	236	386
379	236	385
380	236	384
381	237	383
382	237	382
383	237	381
384	238	380
385	238	379
386	238	378
387	239	377
388	239	376
389	240	375
390	240	374
391	240	373
392	241	372
393	241	371
394	242	370
395	242	369
396	243	369
397	243	368
398	244	367
399	244	367
400	245	366
