iter	Passed	Remaining
0	59	59659
1	60	30033
2	60	20127
3	60	15160
4	77	15473
5	78	12939
6	93	13195
7	93	11581
8	93	10341
9	94	9354
10	94	8529
11	95	7842
12	96	7294
13	97	6878
14	98	6469
15	98	6077
16	99	5747
17	99	5440
18	100	5168
19	100	4940
20	101	4728
21	101	4523
22	102	4337
23	102	4166
24	102	4011
25	103	3878
26	103	3742
27	104	3619
28	104	3501
29	104	3391
30	105	3295
31	105	3199
32	106	3108
33	106	3022
34	106	2941
35	107	2865
36	107	2792
37	107	2727
38	108	2669
39	108	2606
40	109	2554
41	109	2500
42	110	2450
43	110	2399
44	113	2415
45	114	2366
46	114	2320
47	114	2275
48	115	2233
49	115	2192
50	115	2152
51	115	2114
52	116	2078
53	116	2042
54	116	2008
55	117	1976
56	117	1944
57	117	1913
58	118	1884
59	118	1855
60	118	1828
61	119	1801
62	119	1775
63	119	1750
64	120	1726
65	120	1703
66	120	1680
67	120	1657
68	121	1636
69	121	1615
70	121	1594
71	122	1574
72	122	1555
73	122	1536
74	123	1518
75	130	1583
76	131	1574
77	131	1558
78	132	1544
79	132	1527
80	133	1513
81	133	1498
82	134	1483
83	134	1467
84	134	1451
85	135	1438
86	136	1436
87	137	1422
88	137	1408
89	137	1394
90	138	1380
91	138	1370
92	139	1359
93	140	1349
94	140	1342
95	141	1335
96	142	1325
97	143	1316
98	143	1306
99	143	1295
100	144	1284
101	144	1272
102	144	1262
103	145	1251
104	145	1243
105	146	1234
106	146	1224
107	147	1215
108	147	1206
109	148	1197
110	148	1188
111	148	1179
112	149	1170
113	149	1165
114	150	1157
115	150	1149
116	151	1140
117	151	1133
118	152	1126
119	152	1118
120	152	1111
121	153	1104
122	153	1096
123	154	1089
124	154	1084
125	155	1080
126	155	1071
127	156	1065
128	157	1060
129	157	1053
130	157	1046
131	158	1039
132	158	1032
133	158	1027
134	159	1021
135	159	1014
136	160	1011
137	161	1005
138	161	1000
139	161	993
140	162	988
141	162	982
142	162	975
143	163	970
144	163	964
145	163	959
146	164	954
147	165	950
148	165	945
149	165	940
150	166	935
151	166	930
152	167	926
153	167	921
154	168	916
155	168	911
156	169	908
157	169	904
158	170	901
159	170	897
160	171	892
161	171	888
162	172	883
163	172	879
164	172	875
165	173	871
166	174	868
167	174	863
168	174	859
169	175	855
170	175	851
171	175	847
172	176	844
173	177	841
174	177	837
175	178	833
176	178	829
177	178	826
178	179	822
179	179	819
180	180	815
181	180	812
182	181	808
183	181	804
184	182	802
185	182	800
186	183	797
187	183	793
188	184	790
189	186	796
190	187	792
191	187	788
192	187	785
193	188	782
194	188	778
195	188	774
196	189	771
197	189	767
198	190	764
199	190	761
200	190	758
201	191	754
202	191	751
203	191	749
204	192	746
205	193	743
206	193	741
207	193	737
208	194	734
209	194	731
210	194	728
211	195	726
212	195	724
213	196	722
